,date,times,end,vols
1721,20201230,1050,78100,115442
1722,20201230,1055,78000,183873
1723,20201230,1100,78200,113107
1724,20201230,1105,78300,286266
1725,20201230,1110,78300,213806
1726,20201230,1115,78200,53889
1727,20201230,1120,78400,209752
1728,20201230,1125,78600,337239
1729,20201230,1130,78700,356230
1730,20201230,1135,78800,269933
1731,20201230,1140,78800,153766
1732,20201230,1145,79200,764707
1733,20201230,1150,79800,860067
1734,20201230,1155,79700,707671
1735,20201230,1200,80000,1297188
1736,20201230,1205,79800,301121
1737,20201230,1210,79800,298213
1738,20201230,1215,79900,322024
1739,20201230,1220,79900,232872
1740,20201230,1225,80100,446786
1741,20201230,1230,79900,284640
1742,20201230,1235,79900,189724
1743,20201230,1240,79800,149840
1744,20201230,1245,79800,258157
1745,20201230,1250,79800,183562
1746,20201230,1255,79900,209355
1747,20201230,1300,80000,93982
1748,20201230,1305,79800,282966
1749,20201230,1310,79900,185125
1750,20201230,1315,80100,738723
1751,20201230,1320,80100,247858
1752,20201230,1325,80100,440950
1753,20201230,1330,80100,103980
1754,20201230,1335,80200,254604
1755,20201230,1340,80500,908717
1756,20201230,1345,80200,445007
1757,20201230,1350,80300,196821
1758,20201230,1355,80300,292051
1759,20201230,1400,80200,88415
1760,20201230,1405,80300,105104
1761,20201230,1410,80500,378830
1762,20201230,1415,80900,1041373
1763,20201230,1420,81100,981632
1764,20201230,1425,81000,489227
1765,20201230,1430,81000,530210
1766,20201230,1435,81000,485071
1767,20201230,1440,80800,307187
1768,20201230,1445,80700,274042
1769,20201230,1450,80900,352624
1770,20201230,1455,80800,237752
1771,20201230,1500,80700,288809
1772,20201230,1505,81000,436790
1773,20201230,1510,81000,593455
1774,20201230,1515,81200,659559
1775,20201230,1520,81100,611801
1776,20201230,1530,81000,2052543
1777,20210104,1005,80500,4116230
1778,20210104,1010,81400,1721861
1779,20210104,1015,80900,1510256
1780,20210104,1020,80600,1209601
1781,20210104,1025,80900,502960
1782,20210104,1030,81000,438513
1783,20210104,1035,80700,640768
1784,20210104,1040,81000,400525
1785,20210104,1045,81100,773478
1786,20210104,1050,81400,558251
1787,20210104,1055,81200,1099249
1788,20210104,1100,81500,632478
1789,20210104,1105,82000,834420
1790,20210104,1110,82400,1174415
1791,20210104,1115,82500,593139
1792,20210104,1120,83200,1549155
1793,20210104,1125,83200,796335
1794,20210104,1130,83700,1267912
1795,20210104,1135,84000,1344290
1796,20210104,1140,83200,1143622
1797,20210104,1145,83600,671905
1798,20210104,1150,83700,431544
1799,20210104,1155,83400,441237
1800,20210104,1200,83400,387211
1801,20210104,1205,83100,442488
1802,20210104,1210,83300,798896
1803,20210104,1215,83500,286015
1804,20210104,1220,83500,508311
1805,20210104,1225,83600,245887
1806,20210104,1230,83500,496864
1807,20210104,1235,83600,180586
1808,20210104,1240,83700,205613
1809,20210104,1245,83700,209605
1810,20210104,1250,83700,303983
1811,20210104,1255,83500,390930
1812,20210104,1300,83300,518029
1813,20210104,1305,83300,452361
1814,20210104,1310,83100,643199
1815,20210104,1315,83200,291259
1816,20210104,1320,83100,199726
1817,20210104,1325,83100,123429
1818,20210104,1330,83400,272993
1819,20210104,1335,83100,324579
1820,20210104,1340,83300,180516
1821,20210104,1345,83400,258278
1822,20210104,1350,83400,191399
1823,20210104,1355,83300,326970
1824,20210104,1400,83500,207796
1825,20210104,1405,83200,271621
1826,20210104,1410,83100,306403
1827,20210104,1415,83200,281306
1828,20210104,1420,83300,155013
1829,20210104,1425,83200,167508
1830,20210104,1430,83300,272411
1831,20210104,1435,83100,384359
1832,20210104,1440,83100,337148
1833,20210104,1445,83200,441999
1834,20210104,1450,83200,274179
1835,20210104,1455,83100,596517
1836,20210104,1500,83100,400950
1837,20210104,1505,83200,286606
1838,20210104,1510,83200,284975
1839,20210104,1515,83000,306781
1840,20210104,1520,83100,327456
1841,20210104,1530,83000,1159823
1842,20210105,905,82100,3759050
1843,20210105,910,82500,1712666
1844,20210105,915,82600,1541875
1845,20210105,920,82600,833370
1846,20210105,925,82200,871100
1847,20210105,930,82400,683570
1848,20210105,935,82600,514871
1849,20210105,940,82800,467000
1850,20210105,945,82600,638895
1851,20210105,950,82700,466211
1852,20210105,955,82800,279102
1853,20210105,1000,82700,733841
1854,20210105,1005,82800,326996
1855,20210105,1010,82700,205832
1856,20210105,1015,82700,541069
1857,20210105,1020,82500,421607
1858,20210105,1025,82300,536037
1859,20210105,1030,82400,589794
1860,20210105,1035,82100,526479
1861,20210105,1040,82300,429375
1862,20210105,1045,82200,364018
1863,20210105,1050,82200,146308
1864,20210105,1055,81900,1041594
1865,20210105,1100,82200,560206
1866,20210105,1105,82100,196601
1867,20210105,1110,82200,225354
1868,20210105,1115,82500,256531
1869,20210105,1120,82400,185843
1870,20210105,1125,82300,384516
1871,20210105,1130,82300,151726
1872,20210105,1135,82500,226990
1873,20210105,1140,82500,266081
1874,20210105,1145,82600,306686
1875,20210105,1150,82500,273672
1876,20210105,1155,82500,140386
1877,20210105,1200,82600,63222
1878,20210105,1205,82500,204190
1879,20210105,1210,82500,189047
1880,20210105,1215,82500,65683
1881,20210105,1220,82500,70525
1882,20210105,1225,82600,99727
1883,20210105,1230,82600,128579
1884,20210105,1235,82600,354738
1885,20210105,1240,82600,158293
1886,20210105,1245,82600,306581
1887,20210105,1250,82300,367139
1888,20210105,1255,82200,464844
1889,20210105,1300,82400,333169
1890,20210105,1305,82400,295309
1891,20210105,1310,82300,129760
